sample_id,lot_id,tool_id,sequence,dose,focus_nm,pr_thickness_nm,peb_temp_c,field_x,field_y,cd_nm,cdu_3sigma_nm,ler_nm,defect_probability,spec_pass
S00607,L0030,T01,607,99.149471,0.040322,97.911458,117.20245,-0.556705,-0.802103,49.478084,3.121534,11.316048,0.894562,FAIL
S00073,L0003,T01,73,98.429107,0.062498,93.224017,106.221042,-0.359787,0.587352,48.965444,2.955361,4.139549,0.123638,PASS
S00412,L0020,T03,412,101.111667,-0.007335,100.004113,107.021595,0.971247,0.715523,54.40346,2.641845,2.816774,0.048887,FAIL
S00386,L0019,T01,386,101.512803,0.109102,94.334346,111.224016,-0.144958,0.665224,50.331851,3.529096,1.865076,0.063386,FAIL
S00277,L0013,T01,277,,-0.096439,96.651158,109.269026,0.052755,0.855376,50.490207,3.638225,1.238187,0.050231,FAIL
S00766,L0038,T02,766,103.099343,-0.03874,86.27219,113.197829,0.625483,-0.88106,52.100495,3.603806,3.385716,0.143143,FAIL
S00577,L0028,T03,577,100.044602,0.017973,97.274446,109.423351,-0.573606,-0.728075,51.228475,2.185685,0.970844,0.012202,PASS
S00600,L0030,T01,600,94.633115,0.066657,92.797584,109.21065,-0.614356,0.853752,47.112088,3.762486,1.490812,0.063637,FAIL
S00253,L0012,T03,253,104.3212,-0.00519,95.675518,110.40166,0.308189,0.080714,53.377836,1.960522,1.271314,0.011759,FAIL
S00716,L0035,T01,716,100.150085,0.172525,94.114195,112.265421,-0.997161,-0.538509,50.577007,5.388984,2.521021,0.34111,FAIL
S00315,L0015,T01,315,92.303701,0.049111,96.742238,113.384167,0.862024,-0.288853,47.283579,3.227912,3.695588,0.123759,FAIL
S00697,L0034,T02,697,98.136589,0.020102,92.647401,108.947581,0.267188,-0.897919,51.773984,2.947064,1.656739,0.034508,PASS
S00147,L0007,T01,147,94.007943,0.028954,99.936045,109.463915,-0.950522,0.368341,48.238094,2.770518,1.328056,0.024817,PASS
S00125,L0006,T02,125,114.425574,0.148439,101.134413,108.698012,-0.761446,0.137421,55.198926,4.902171,1.913594,0.19301,FAIL
S00677,L0033,T01,677,89.937387,-0.0261,93.234257,105.933132,0.562968,0.509695,46.392741,2.334751,4.425366,0.086292,FAIL
S00321,L0016,T03,321,100.055049,-0.01022,97.122464,107.429299,-0.759623,-0.021041,51.972354,2.783763,2.618884,0.049773,PASS
S00456,L0022,T02,456,107.456239,0.032553,91.880607,108.493808,0.434906,0.391613,53.489327,2.009637,1.94373,0.017684,FAIL
S00287,L0014,T03,287,98.628184,-0.096004,91.42785,109.780055,0.031294,-0.130736,52.52007,3.121019,1.109288,0.030004,PASS
S00533,L0026,T02,533,100.016095,-0.060107,,106.720492,-0.428747,-0.115058,38.177625,2.552947,3.43654,0.062547,PASS
S00644,L0032,T01,644,105.804121,-0.087482,91.816005,110.0,0.96722,0.476157,51.901335,4.360236,1.175157,0.089118,FAIL
S00461,L0023,T01,461,97.126383,0.026887,92.471202,113.342102,-0.125245,-0.436008,47.816609,2.232753,3.458498,0.048184,PASS
S00520,L0026,T02,520,101.494428,-0.070662,102.867056,109.834578,-0.622553,0.09879,49.834378,3.089273,1.163538,0.03004,PASS
S00601,L0030,T01,601,98.043755,0.045583,96.093905,113.171989,0.565812,-0.623707,48.15303,3.438233,3.069418,0.107896,FAIL
S00669,L0033,T02,669,102.65498,-0.011562,93.69666,107.158708,-0.600442,-0.680569,52.380152,2.332204,3.351807,0.049617,PASS
S00695,L0034,T01,695,109.071083,-0.053193,93.030589,111.473467,0.208811,-0.358071,52.296216,2.795281,1.901309,0.034439,PASS
S00631,L0031,T02,631,89.233715,0.053784,102.497539,111.266157,0.807578,0.940484,46.925759,3.881115,2.062288,0.09383,FAIL
S00694,L0034,T01,694,98.192533,-0.035911,94.000911,108.785531,,-0.723343,50.482405,2.701831,1.757741,0.029409,PASS
