sample_id,lot_id,tool_id,sequence,dose,focus_nm,pr_thickness_nm,peb_temp_c,field_x,field_y,cd_nm,cdu_3sigma_nm,ler_nm,defect_probability,spec_pass
S00541,L0027,T01,541,104.181212,-0.051467,90.984734,,-0.7685,0.786217,53.031025,3.617631,1.357779,0.052533,FAIL
S00139,L0006,T02,139,101.025834,0.023568,94.576984,111.254495,0.411995,-0.179499,50.827404,2.156557,1.481714,0.015686,PASS
S00283,L0014,T01,283,95.516082,0.039326,93.348186,109.53362,-0.850955,-0.728796,50.758031,3.183494,1.252107,0.034185,PASS
S00270,L0013,T03,270,108.475451,0.007839,104.935184,111.87862,-0.753753,,55.249413,2.179469,2.236936,0.024053,FAIL
S00698,L0034,T01,698,93.674577,0.005553,87.483344,,-0.118122,0.193647,47.72081,1.98049,1.330238,0.012359,PASS
S00207,L0010,T01,207,95.958381,-0.022647,92.346748,110.189006,-0.063544,0.557539,48.901471,1.946336,1.15737,0.010914,PASS
S00433,L0021,T02,433,92.63607,-0.005046,95.199971,108.676215,0.002311,,47.619883,2.100566,2.11444,0.021009,PASS
S00161,L0008,T03,161,95.716615,0.06362,94.695187,111.628189,-0.872246,0.41866,51.884727,3.411504,1.582866,0.049544,FAIL
S00159,L0007,T02,159,95.538076,-0.084,92.009755,,0.62633,0.118812,48.813692,4.049275,2.43942,0.129096,FAIL
S00353,L0017,T01,353,101.045734,0.123999,94.730225,109.30856,-0.896805,0.14768,51.902871,4.689997,1.789095,0.155776,FAIL
S00641,L0032,T01,641,100.071237,-0.042959,95.703268,112.155494,0.771012,0.381131,51.790365,2.431368,2.3148,0.031261,PASS
S00157,L0007,T01,157,98.477954,0.089237,97.019847,107.943962,-0.046112,0.305261,48.875965,3.377238,1.905987,0.056937,FAIL
S00745,L0037,T01,745,95.01406,0.062937,93.904801,110.409432,-0.306325,-0.55149,50.078376,5.661079,1.333568,0.050562,FAIL
S00189,L0009,T02,189,96.857041,0.008203,90.46512,109.986466,0.770265,-0.233947,51.193762,1.972585,1.30327,0.012094,PASS
S00694,L0034,T01,694,96.578434,-0.088317,94.440192,110.912993,0.27219,0.967104,50.804454,3.702458,1.410894,0.058042,FAIL
S00793,L0039,T03,793,105.732721,-0.012033,106.159621,111.378887,-0.824835,0.037347,54.480658,1.972278,1.768917,0.015565,FAIL
S00679,L0033,T01,679,102.183469,0.073041,94.49924,112.797361,-0.555721,-0.432354,52.320401,2.907368,2.67228,0.05686,PASS
S00702,L0035,T01,702,108.771066,0.060661,998.83255,108.422296,0.882558,-0.954323,56.081607,4.035761,2.279873,0.118273,FAIL
S00208,L0010,T03,208,94.357207,-0.094727,99.200478,110.677777,0.076316,-0.76641,49.622777,3.587132,1.391395,0.052089,FAIL
S00049,L0002,T01,49,100.717348,0.143354,102.517716,108.242792,-0.625001,-0.616236,50.893532,5.011177,1.911451,0.208558,FAIL
S00532,L0026,T01,532,104.186925,0.13464,92.959598,110.852961,0.461005,-0.019762,51.876378,3.694206,1.759058,0.068963,FAIL
S00720,L0036,T03,720,96.610176,0.02028,92.377924,107.761838,-0.516877,-0.924876,52.111969,2.650025,2.0103,0.032161,PASS
S00210,L0010,T01,210,90.610089,-0.129306,92.787485,108.96114,-0.977404,0.645569,48.606156,5.125659,2.145665,0.249404,FAIL
