down_force,platen_speed,slurry_flow,pad_age,pattern_density,removal_rate
2.1,72,125,12,0.28,246.1
2.4,76,130,20,0.34,267.8
2.8,82,138,28,0.41,292.6
3.1,88,145,36,0.47,308.7
3.5,94,152,44,0.55,323.2
3.8,100,160,52,0.62,335.5
2.2,96,142,60,0.31,278.4
2.6,104,150,68,0.38,298.1
3.0,110,158,76,0.45,313.9
3.4,116,166,84,0.52,325.0
3.7,122,174,92,0.59,331.7
4.0,128,182,100,0.66,337.1
2.3,84,168,32,0.70,286.2
2.7,90,176,40,0.63,302.4
3.2,98,184,48,0.56,319.6
3.6,106,192,56,0.49,333.8
3.9,114,200,64,0.42,342.2
4.2,120,208,72,0.35,349.0
2.5,108,188,88,0.72,304.7
2.9,116,196,96,0.65,316.5
3.3,124,204,104,0.58,327.1
3.7,132,212,112,0.51,335.3
4.1,140,220,120,0.44,341.4
4.4,148,228,128,0.37,346.0
2.0,68,118,16,0.76,231.8
2.6,80,134,24,0.68,273.5
3.0,92,148,42,0.60,301.2
3.5,104,162,58,0.52,323.7
3.9,118,178,74,0.44,338.9
4.3,134,194,90,0.36,349.6
