group_type,group_value,pr_tone,count,pct_of_dataset
tool_id,T01,ALL,476,59.1304
tool_id,T02,ALL,212,26.3354
tool_id,T03,ALL,117,14.5342
lot_id,L0000,ALL,20,2.4845
lot_id,L0001,ALL,20,2.4845
lot_id,L0002,ALL,21,2.6087
lot_id,L0003,ALL,20,2.4845
lot_id,L0004,ALL,20,2.4845
lot_id,L0005,ALL,20,2.4845
lot_id,L0006,ALL,20,2.4845
lot_id,L0007,ALL,20,2.4845
lot_id,L0008,ALL,20,2.4845
lot_id,L0009,ALL,20,2.4845
lot_id,L0010,ALL,20,2.4845
lot_id,L0011,ALL,20,2.4845
lot_id,L0012,ALL,20,2.4845
lot_id,L0013,ALL,20,2.4845
lot_id,L0014,ALL,20,2.4845
lot_id,L0015,ALL,20,2.4845
lot_id,L0016,ALL,20,2.4845
lot_id,L0017,ALL,20,2.4845
lot_id,L0018,ALL,21,2.6087
lot_id,L0019,ALL,20,2.4845
lot_id,L0020,ALL,20,2.4845
lot_id,L0021,ALL,21,2.6087
lot_id,L0022,ALL,20,2.4845
lot_id,L0023,ALL,20,2.4845
lot_id,L0024,ALL,20,2.4845
lot_id,L0025,ALL,20,2.4845
lot_id,L0026,ALL,20,2.4845
lot_id,L0027,ALL,20,2.4845
lot_id,L0028,ALL,20,2.4845
lot_id,L0029,ALL,20,2.4845
lot_id,L0030,ALL,20,2.4845
lot_id,L0031,ALL,20,2.4845
lot_id,L0032,ALL,20,2.4845
lot_id,L0033,ALL,20,2.4845
lot_id,L0034,ALL,21,2.6087
lot_id,L0035,ALL,20,2.4845
lot_id,L0036,ALL,20,2.4845
lot_id,L0037,ALL,20,2.4845
lot_id,L0038,ALL,20,2.4845
lot_id,L0039,ALL,21,2.6087
pr_tone,MISSING,ALL,11,1.3665
pr_tone,NEGATIVE,ALL,271,33.6646
pr_tone,POSITIVE,ALL,523,64.9689
tool_id,T01,MISSING,6,0.7453
tool_id,T01,NEGATIVE,156,19.3789
tool_id,T01,POSITIVE,314,39.0062
tool_id,T02,MISSING,4,0.4969
tool_id,T02,NEGATIVE,85,10.5590
tool_id,T02,POSITIVE,123,15.2795
tool_id,T03,MISSING,1,0.1242
tool_id,T03,NEGATIVE,30,3.7267
tool_id,T03,POSITIVE,86,10.6832
lot_id,L0000,NEGATIVE,9,1.1180
lot_id,L0000,POSITIVE,11,1.3665
