column,missing_count,missing_pct
sample_id,0,0.0000
lot_id,0,0.0000
tool_id,0,0.0000
sequence,0,0.0000
pr_tone,11,1.3665
retained_pattern_source,14,1.7391
nominal_cd_nm,11,1.3665
exposure_dose_mj_cm2,9,1.1180
normalized_dose_pct,10,1.2422
focus_um,14,1.7391
coat_thickness_nm,3,0.3727
softbake_temp_c,10,1.2422
peb_temp_c,9,1.1180
develop_time_s,14,1.7391
developer_concentration_pct,4,0.4969
field_x,16,1.9876
field_y,7,0.8696
resist_line_cd_nm,0,0.0000
cdu_3sigma_nm,0,0.0000
ler_nm,0,0.0000
scum_probability,0,0.0000
pattern_collapse_probability,0,0.0000
defect_probability,0,0.0000
spec_pass,0,0.0000
