pr_tone,variable,analysis,n_complete_pairs,pearson_r
POSITIVE,normalized_dose_pct,original_including_flagged,518,-0.5610506390982163
POSITIVE,normalized_dose_pct,flagged_excluded_sensitivity,517,-0.6783742964044995
POSITIVE,focus_um,original_including_flagged,513,-0.02634924240359815
POSITIVE,focus_um,flagged_excluded_sensitivity,513,-0.02634924240359815
POSITIVE,coat_thickness_nm,original_including_flagged,521,0.10850038393225098
POSITIVE,coat_thickness_nm,flagged_excluded_sensitivity,520,0.12100687932461035
POSITIVE,softbake_temp_c,original_including_flagged,517,0.013478437102117035
POSITIVE,softbake_temp_c,flagged_excluded_sensitivity,516,0.021554463553799613
POSITIVE,peb_temp_c,original_including_flagged,517,-0.024433964819554004
POSITIVE,peb_temp_c,flagged_excluded_sensitivity,517,-0.024433964819554004
POSITIVE,develop_time_s,original_including_flagged,516,-0.19758526329796128
POSITIVE,develop_time_s,flagged_excluded_sensitivity,516,-0.19758526329796128
POSITIVE,developer_concentration_pct,original_including_flagged,520,0.002488289528436909
POSITIVE,developer_concentration_pct,flagged_excluded_sensitivity,519,-0.021497807863203554
NEGATIVE,normalized_dose_pct,original_including_flagged,266,0.7591027712091047
NEGATIVE,normalized_dose_pct,flagged_excluded_sensitivity,266,0.7591027712091047
NEGATIVE,focus_um,original_including_flagged,267,-0.02970958310810928
NEGATIVE,focus_um,flagged_excluded_sensitivity,266,-0.1041291669453162
NEGATIVE,coat_thickness_nm,original_including_flagged,270,0.14099247193967296
NEGATIVE,coat_thickness_nm,flagged_excluded_sensitivity,270,0.14099247193967296
NEGATIVE,softbake_temp_c,original_including_flagged,268,0.045384772157901564
NEGATIVE,softbake_temp_c,flagged_excluded_sensitivity,268,0.045384772157901564
NEGATIVE,peb_temp_c,original_including_flagged,268,0.10220074982564022
NEGATIVE,peb_temp_c,flagged_excluded_sensitivity,268,0.10220074982564022
NEGATIVE,develop_time_s,original_including_flagged,264,-0.053537257187071946
NEGATIVE,develop_time_s,flagged_excluded_sensitivity,264,-0.053537257187071946
NEGATIVE,developer_concentration_pct,original_including_flagged,270,-0.009237525894875559
NEGATIVE,developer_concentration_pct,flagged_excluded_sensitivity,270,-0.009237525894875559
