pr_tone,tool_id,variable,n_complete_pairs,pearson_r
POSITIVE,T01,normalized_dose_pct,311,-0.5424357204143249
POSITIVE,T01,focus_um,307,-0.007251395503899427
POSITIVE,T01,coat_thickness_nm,312,0.11648037015509204
POSITIVE,T01,softbake_temp_c,308,-0.0029459300313219596
POSITIVE,T01,peb_temp_c,310,0.10432861110159954
POSITIVE,T01,develop_time_s,311,-0.21851863056927498
POSITIVE,T01,developer_concentration_pct,312,0.02440370237212871
POSITIVE,T02,normalized_dose_pct,123,-0.8360154453576923
POSITIVE,T02,focus_um,121,0.02418942221566742
POSITIVE,T02,coat_thickness_nm,123,0.059536833496633954
POSITIVE,T02,softbake_temp_c,123,0.03467092072124283
POSITIVE,T02,peb_temp_c,122,-0.10657717135673297
POSITIVE,T02,develop_time_s,121,-0.15365356537166974
POSITIVE,T02,developer_concentration_pct,122,0.001382255524946346
POSITIVE,T03,normalized_dose_pct,84,-0.8536697565109927
POSITIVE,T03,focus_um,85,-0.13012620106155004
POSITIVE,T03,coat_thickness_nm,86,0.1067399574435268
POSITIVE,T03,softbake_temp_c,86,0.03481106053978341
POSITIVE,T03,peb_temp_c,85,-0.09497784042226116
POSITIVE,T03,develop_time_s,84,-0.09022232530083435
POSITIVE,T03,developer_concentration_pct,86,-0.09259084781229633
NEGATIVE,T01,normalized_dose_pct,155,0.8313630588529818
NEGATIVE,T01,focus_um,154,0.009459294883424625
NEGATIVE,T01,coat_thickness_nm,155,0.13215391882366231
NEGATIVE,T01,softbake_temp_c,154,0.08321384134893367
NEGATIVE,T01,peb_temp_c,154,-0.11464731056387689
NEGATIVE,T01,develop_time_s,153,-0.046668075942239755
NEGATIVE,T01,developer_concentration_pct,155,0.003325554306782076
NEGATIVE,T02,normalized_dose_pct,81,0.8993894440353831
NEGATIVE,T02,focus_um,84,-0.1173507682897695
NEGATIVE,T02,coat_thickness_nm,85,0.18833575578362272
NEGATIVE,T02,softbake_temp_c,85,-0.029962362694870015
NEGATIVE,T02,peb_temp_c,84,0.05054775087024759
NEGATIVE,T02,develop_time_s,81,-0.22482287163086198
NEGATIVE,T02,developer_concentration_pct,85,-0.018030005550284264
NEGATIVE,T03,normalized_dose_pct,30,0.6668130677817092
NEGATIVE,T03,focus_um,29,0.13786561182815596
NEGATIVE,T03,coat_thickness_nm,30,0.16923039161610015
NEGATIVE,T03,softbake_temp_c,29,0.14291290896391892
NEGATIVE,T03,peb_temp_c,30,0.09468263276993903
NEGATIVE,T03,develop_time_s,30,0.16593512475234162
NEGATIVE,T03,developer_concentration_pct,30,0.04412217516968958
