model,analysis,term,coefficient,reference_or_unit
Model 0,original_including_flagged,intercept_mean_cd_nm,50.32025697316637,nm
Model 1,original_including_flagged,intercept,50.296595203800926,"PR=POSITIVE, tool=T01, dose centered at train median 100.032%"
Model 1,original_including_flagged,dose_centered,-0.18464134880379485,Positive: nm CD per normalized-dose percentage point
Model 1,original_including_flagged,pr_tone_NEGATIVE,-0.243043472507471,difference from POSITIVE at centered dose=0
Model 1,original_including_flagged,pr_tone_MISSING,0.558185364121556,difference from POSITIVE at centered dose=0
Model 1,original_including_flagged,dose_x_pr_tone_NEGATIVE,0.5203370665490692,Negative minus Positive dose slope
Model 1,original_including_flagged,dose_x_pr_tone_MISSING,0.2168960096861642,nm CD per feature unit
Model 1,original_including_flagged,derived_dose_slope_POSITIVE,-0.18464134880379485,nm CD per normalized-dose percentage point
Model 1,original_including_flagged,derived_dose_slope_NEGATIVE,0.33569571774527435,main dose slope + NEGATIVE interaction
Model 1,original_including_flagged,derived_dose_slope_MISSING,0.03225466088236936,descriptive only; MISSING tone is not a physical PR group
Model 2,original_including_flagged,intercept,49.39610092951918,"PR=POSITIVE, tool=T01, dose centered at train median 100.032%"
Model 2,original_including_flagged,dose_centered,-0.1940680985215194,Positive: nm CD per normalized-dose percentage point
Model 2,original_including_flagged,pr_tone_NEGATIVE,-0.2154834712395564,difference from POSITIVE at centered dose=0
Model 2,original_including_flagged,pr_tone_MISSING,0.15618869065271948,difference from POSITIVE at centered dose=0
Model 2,original_including_flagged,dose_x_pr_tone_NEGATIVE,0.544657674697419,Negative minus Positive dose slope
Model 2,original_including_flagged,dose_x_pr_tone_MISSING,0.3450220500012222,nm CD per feature unit
Model 2,original_including_flagged,tool_id_T02,1.6731424622063014,difference from T01
Model 2,original_including_flagged,tool_id_T03,3.0933471881148153,difference from T01
Model 2,original_including_flagged,derived_dose_slope_POSITIVE,-0.1940680985215194,nm CD per normalized-dose percentage point
Model 2,original_including_flagged,derived_dose_slope_NEGATIVE,0.3505895761758996,main dose slope + NEGATIVE interaction
Model 2,original_including_flagged,derived_dose_slope_MISSING,0.1509539514797028,descriptive only; MISSING tone is not a physical PR group
Model 3,original_including_flagged,intercept,51.175411955951155,"PR=POSITIVE, tool=T01, dose centered at train median 100.032%"
Model 3,original_including_flagged,dose_centered,-0.1963860822179641,Positive: nm CD per normalized-dose percentage point
Model 3,original_including_flagged,pr_tone_NEGATIVE,0.13847674952813482,difference from POSITIVE at centered dose=0
Model 3,original_including_flagged,pr_tone_MISSING,0.0933843789836836,difference from POSITIVE at centered dose=0
Model 3,original_including_flagged,dose_x_pr_tone_NEGATIVE,0.534155424573149,Negative minus Positive dose slope
