model,analysis,split,n,n_features,r2,rmse_nm,mae_nm
Model 0,original_including_flagged,Train,559,0,0.0,2.89046958964649,2.0991149450366584
Model 0,original_including_flagged,Validation,241,0,-0.00525556628508328,2.938982706832667,2.186842777158381
Model 1,original_including_flagged,Train,559,5,0.36517620980805876,2.3030056393017824,1.5230212327208408
Model 1,original_including_flagged,Validation,241,5,0.48288048408123185,2.107920616558828,1.533588516191826
Model 2,original_including_flagged,Train,559,7,0.5225717848809207,1.9972040831823272,1.2054188231735714
Model 2,original_including_flagged,Validation,241,7,0.6788080264731287,1.6612734690183597,1.1402799156307954
Model 3,original_including_flagged,Train,559,14,0.5527968585274344,1.9329509222600862,1.1497703806853843
Model 3,original_including_flagged,Validation,241,14,0.6607858309298305,1.7072447255874277,1.1180508877902033
Model 0,flagged_rows_excluded_sensitivity,Train,555,0,0.0,2.895469132326595,2.1027935522181638
Model 0,flagged_rows_excluded_sensitivity,Validation,240,0,-0.005502400179474787,2.9454393559640066,2.194601986448949
Model 1,flagged_rows_excluded_sensitivity,Train,555,5,0.4758703230730389,2.0962270205948306,1.4451752601516568
Model 1,flagged_rows_excluded_sensitivity,Validation,240,5,0.5224267564404275,2.0299181333393324,1.4879406968195543
Model 2,flagged_rows_excluded_sensitivity,Train,555,7,0.6336943459091605,1.7524302874906643,1.0777724361172227
Model 2,flagged_rows_excluded_sensitivity,Validation,240,7,0.727798010884545,1.5325130339269726,1.049041766305232
Model 3,flagged_rows_excluded_sensitivity,Train,555,14,0.6766056178073062,1.6465888684322505,0.9809383509002104
Model 3,flagged_rows_excluded_sensitivity,Validation,240,14,0.7586075415382687,1.443179590804021,0.9694967752291307
