lot_id,wafer_id,tool_id,slot,point_id,radius_mm,angle_deg,cd_nm,defect_count,measured_at
LOT-002,LOT-002-W05,PHOTO_B,15,11,45.0,300.0,45.549,2,2026-07-21 03:00:00
LOT-012,LOT-012-W03,PHOTO_C,9,0,0.0,0.0,44.798,0,2026-07-24 09:00:00
LOT-003,LOT-003-W02,PHOTO_C,6,32,120.0,210.0,45.057,1,2026-07-21 08:00:00
LOT-003,LOT-003-W02,PHOTO_C,6,40,142.0,90.0,44.421,2,2026-07-21 08:00:00
LOT-006,LOT-006-W03,PHOTO_C,9,29,120.0,120.0,0.040628,10,2026-07-22 09:00:00
LOT-001,LOT-001-W01,PHOTO_A,3,25,120.0,0.0,44.79,0,2026-07-20 15:00:00
LOT-010,LOT-010-W02,PHOTO_A,6,15,85.0,60.0,45.049,2,2026-07-23 16:00:00
LOT-008,LOT-008-W04,PHOTO_B,12,21,85.0,240.0,45.853,4,2026-07-23 02:00:00
LOT-010,LOT-010-W03,PHOTO_A,9,20,85.0,210.0,44.863,1,2026-07-23 17:00:00
LOT-001,LOT-001-W01,PHOTO_A,3,46,142.0,270.0,44.495,2,2026-07-20 15:00:00
LOT-011,LOT-011-W04,PHOTO_B,12,36,120.0,330.0,46.619,0,2026-07-24 02:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,17,85.0,120.0,44.696,0,2026-07-23 08:00:00
LOT-008,LOT-008-W01,PHOTO_B,3,47,142.0,300.0,44.841,0,2026-07-22 23:00:00
LOT-005,LOT-005-W05,PHOTO_B,15,12,45.0,330.0,44.987,2,2026-07-22 03:00:00
LOT-011,LOT-011-W02,PHOTO_B,6,31,120.0,180.0,45.539,5,2026-07-24 00:00:00
LOT-012,LOT-012-W03,PHOTO_C,9,3,45.0,60.0,44.363,3,2026-07-24 09:00:00
LOT-012,LOT-012-W05,PHOTO_C,15,2,45.0,30.0,45.251,1,2026-07-24 11:00:00
LOT-003,LOT-003-W05,PHOTO_C,15,34,120.0,270.0,44.619,0,2026-07-21 11:00:00
LOT-006,LOT-006-W02,PHOTO_C,6,32,120.0,210.0,41.329,8,2026-07-22 08:00:00
LOT-005,LOT-005-W05,PHOTO_B,15,33,120.0,240.0,45.016,2,2026-07-22 03:00:00
LOT-001,LOT-001-W04,PHOTO_A,12,11,45.0,300.0,45.032,0,2026-07-20 18:00:00
LOT-001,LOT-001-W04,PHOTO_A,12,27,120.0,60.0,44.665,3,2026-07-20 18:00:00
LOT-001,LOT-001-W04,PHOTO_A,12,0,0.0,0.0,45.34,3,2026-07-20 18:00:00
